"source","target","weight"
0,0,215
1,1,156
2,2,103
1,2,35
1,2,35
0,2,28
0,1,28
0,2,28
0,1,28
1,188,18
0,186,12
0,188,11
2,188,11
1,69,11
1,186,10
1,96,10
0,26,9
2,186,8
0,189,7
3,3,6
0,226,5
0,182,5
0,241,5
1,114,5
0,62,4
0,28,4
0,184,4
2,59,4
2,124,4
2,3,4
1,257,4
1,28,4
1,25,4
1,88,4
1,182,4
2,3,4
0,59,3
0,124,3
0,25,3
0,82,3
0,45,3
0,183,3
2,28,3
2,96,3
2,262,3
2,182,3
1,124,3
1,78,3
1,3,3
1,184,3
1,183,3
1,3,3
0,44,2
0,96,2
0,99,2
0,262,2
2,257,2
2,44,2
2,25,2
2,78,2
2,109,2
2,67,2
2,92,2
1,60,2
1,44,2
1,141,2
1,226,2
1,189,2
1,262,2
1,68,2
1,115,2
1,133,2
3,186,2
3,68,2
3,66,2
0,77,1
0,43,1
0,42,1
0,29,1
0,233,1
0,18,1
0,113,1
0,147,1
0,162,1
0,94,1
0,170,1
0,159,1
0,258,1
0,3,1
0,27,1
0,266,1
0,243,1
0,245,1
0,110,1
0,185,1
2,212,1
2,144,1
2,138,1
2,230,1
2,29,1
2,226,1
2,88,1
2,190,1
2,81,1
2,18,1
2,26,1
2,74,1
2,99,1
2,170,1
2,79,1
2,159,1
2,265,1
2,17,1
2,273,1
2,30,1
2,89,1
2,258,1
2,250,1
2,84,1
2,114,1
2,260,1
2,98,1
2,33,1
2,187,1
2,263,1
2,184,1
2,254,1
2,183,1
2,117,1
2,185,1
1,62,1
1,144,1
1,29,1
1,73,1
1,81,1
1,82,1
1,109,1
1,20,1
1,31,1
1,113,1
1,99,1
1,265,1
1,131,1
1,30,1
1,179,1
1,84,1
1,252,1
1,143,1
1,176,1
1,85,1
1,98,1
1,130,1
1,227,1
1,187,1
1,102,1
1,122,1
1,185,1
0,3,1
3,188,1
3,262,1
3,182,1
3,184,1
3,254,1
